FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25732475.202505190900,82,,2110010,1,20250519,900,18,6,0,0,0,0,0,15,5,0,0,0,0,0,3,202505190900,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732476.202505190900,82,,2110017,1,20250519,900,87,27,0,0,0,0,0,105,22,0,0,0,0,0,3,202505190900,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732477.202505190900,82,,2110019,1,20250519,900,105,31,0,0,0,0,0,57,25,0,0,0,0,0,3,202505190900,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732478.202505190900,82,,2110021,1,20250519,900,53,21,1,0,0,0,0,55,14,0,0,0,0,0,3,202505190900,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732479.202505190900,82,,2110030,1,20250519,900,68,15,0,0,0,0,0,90,13,0,0,0,0,0,3,202505190900,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732480.202505190900,82,,2110040,1,20250519,900,37,10,0,0,0,0,0,47,9,0,0,0,0,0,3,202505190900,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732481.202505190900,82,,2110050,1,20250519,900,9,7,0,0,1,0,0,13,14,0,0,1,0,0,3,202505190900,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732482.202505190900,82,,2110060,1,20250519,900,81,17,0,0,0,0,0,98,16,0,0,0,0,0,3,202505190900,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732483.202505190900,82,,2110061,1,20250519,900,15,1,0,0,0,0,0,14,2,1,0,0,0,0,3,202505190900,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732484.202505190900,82,,2110062,1,20250519,900,8,2,0,0,0,0,0,13,1,0,0,0,0,0,3,202505190900,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732485.202505190900,82,,2110063,1,20250519,900,19,7,1,0,0,0,0,3,2,0,0,0,0,0,3,202505190900,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732486.202505190900,82,,2110065,1,20250519,900,78,21,0,0,0,0,0,98,12,0,0,0,0,0,3,202505190900,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25732487.202505190900,82,,2110080,1,20250519,900,62,18,0,0,0,0,0,104,17,0,0,0,0,0,3,202505190900,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
