FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25313249.202505171305,87,,7110050,1,20250517,1305,121,4,0,0,0,0,0,89,10,0,0,0,0,0,3,202505171305,34.48565560311886,133.3551943,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313250.202505171305,87,,7110060,1,20250517,1305,136,10,0,0,0,0,0,122,13,0,0,0,0,0,3,202505171305,34.42263781303284,133.2070398,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313251.202505171305,87,,7110070,1,20250517,1305,90,7,0,0,0,0,0,74,7,0,0,0,0,0,3,202505171305,34.407573573012236,133.1699288,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313252.202505171305,87,,7110080,1,20250517,1305,26,6,0,0,0,0,0,26,5,0,0,0,0,0,3,202505171305,34.405688133009654,132.9629534,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313253.202505171305,87,,7110100,1,20250517,1305,17,2,0,0,0,0,0,8,1,0,0,0,0,0,3,202505171305,35.525440034486614,134.401402,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313254.202505171305,87,,7110120,1,20250517,1305,,,,0,0,0,1,,,,0,0,0,1,3,202505171305,35.52073503448066,133.602321,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313255.202505171305,87,,7110130,1,20250517,1305,76,8,0,0,0,0,0,72,8,0,0,0,0,0,3,202505171305,35.41880503435098,133.370183,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313256.202505171305,87,,7110220,1,20250517,1305,,,,0,0,0,1,,,,0,0,0,1,3,202505171305,35.19265103405972,134.203535,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313257.202505171305,87,,7110230,1,20250517,1305,41,1,0,0,0,0,0,34,2,0,0,0,0,0,3,202505171305,34.76131441349103,132.8171003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313258.202505171305,87,,7110300,1,20250517,1305,112,7,0,0,0,0,0,118,3,0,0,0,0,0,3,202505171305,34.38300703297858,132.459786,132.459786,34.38300703297858,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313259.202505171305,87,,7110310,1,20250517,1305,38,3,0,0,0,1,0,61,2,0,0,0,0,0,3,202505171305,34.37385803296604,132.421237,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313260.202505171305,87,,7116080,1,20250517,1305,48,6,0,0,0,0,0,54,10,0,0,0,0,0,3,202505171305,34.39666703299729,133.151389,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313261.202505171305,87,,7160010,1,20250517,1305,,,,0,0,0,1,,,,0,0,0,1,1,202505171305,34.5622222532229,133.1247222,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313262.202505171305,87,,7160020,1,20250517,1305,29,2,0,0,0,0,0,14,1,0,0,0,0,0,1,202505171305,35.07931507391195,132.8976065,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313263.202505171305,87,,7310030,1,20250517,1305,86,7,0,0,0,0,0,72,11,0,0,0,0,0,3,202505171305,34.49757349313508,133.4192187,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313264.202505171305,87,,7310040,1,20250517,1305,130,9,0,0,0,0,0,95,9,0,0,0,0,0,3,202505171305,34.4518823230728,133.2408893,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313265.202505171305,87,,7310050,1,20250517,1305,9,3,0,0,0,0,0,4,0,0,0,0,0,0,3,202505171305,35.52642103448786,134.014803,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313266.202505171305,87,,7310070,1,20250517,1305,11,4,0,0,0,0,0,22,0,0,0,0,0,0,3,202505171305,35.51442503447265,134.020507,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313267.202505171305,87,,7310080,1,20250517,1305,,,,0,0,0,1,,,,0,0,0,1,3,202505171305,35.50773503446417,133.951629,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313268.202505171305,87,,7310100,1,20250517,1305,28,1,0,0,0,0,0,15,1,0,0,0,0,0,3,202505171305,35.508808034465545,133.493736,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313269.202505171305,87,,7310130,1,20250517,1305,46,2,0,0,0,0,0,36,2,0,0,0,0,0,3,202505171305,35.419582034351976,134.259336,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313270.202505171305,87,,7310190,1,20250517,1305,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,202505171305,35.48752003443851,134.19798,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313271.202505171305,87,,7310200,1,20250517,1305,50,8,0,0,0,0,0,56,1,0,0,0,0,0,3,202505171305,35.56082603453137,134.284636,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313272.202505171305,87,,7310210,1,20250517,1305,48,6,0,0,0,0,0,64,7,0,0,0,0,0,3,202505171305,35.50841503446504,133.518074,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313273.202505171305,87,,7310220,1,20250517,1305,41,5,0,0,0,0,0,50,0,0,0,0,0,0,3,202505171305,35.527027804488625,134.13269444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313274.202505171305,87,,7310230,1,20250517,1305,,,,0,0,0,1,,,,0,0,0,1,3,202505171305,35.51102780446835,134.20186111,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313275.202505171305,87,,7310240,1,20250517,1305,16,5,0,0,0,0,0,21,0,0,0,0,0,0,3,202505171305,35.397000034323106,134.20377777,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313276.202505171305,87,,7310250,1,20250517,1305,10,3,0,0,0,0,0,17,7,0,0,0,0,0,3,202505171305,35.21870003409352,134.3247,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313277.202505171305,87,,7310310,1,20250517,1305,67,5,0,0,0,0,0,45,2,0,0,0,0,0,3,202505171305,34.34795203293048,132.689449,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313278.202505171305,87,,7310320,1,20250517,1305,44,3,0,0,0,0,0,29,6,0,0,0,0,0,3,202505171305,34.3631870329514,132.733939,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25313279.202505171305,87,,7310340,1,20250517,1305,102,8,0,0,0,0,0,76,5,0,0,0,0,0,3,202505171305,34.46347803308863,133.26236,133.262329,34.46377003308901,,,,,,,,,,,,,,,
