FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26734753.202505231850,82,,2110010,1,20250523,1850,14,5,0,0,0,0,0,15,4,0,0,0,0,0,3,202505231850,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734754.202505231850,82,,2110017,1,20250523,1850,108,7,0,0,0,0,0,143,7,0,0,0,0,0,3,202505231850,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734755.202505231850,82,,2110019,1,20250523,1850,88,9,0,0,0,0,0,111,17,0,0,0,0,0,3,202505231850,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734756.202505231850,82,,2110021,1,20250523,1850,98,9,1,0,0,0,0,78,8,0,0,0,0,0,3,202505231850,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734757.202505231850,82,,2110030,1,20250523,1850,107,7,0,0,0,0,0,125,7,0,0,0,0,0,3,202505231850,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734758.202505231850,82,,2110040,1,20250523,1850,78,1,0,0,0,0,0,76,2,0,0,0,0,0,3,202505231850,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734759.202505231850,82,,2110050,1,20250523,1850,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,202505231850,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734760.202505231850,82,,2110060,1,20250523,1850,101,5,0,0,0,0,0,117,6,0,0,0,0,0,3,202505231850,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734761.202505231850,82,,2110061,1,20250523,1850,17,0,0,0,0,0,0,13,0,0,0,0,0,0,3,202505231850,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734762.202505231850,82,,2110062,1,20250523,1850,17,1,0,0,0,0,0,24,0,0,0,0,0,0,3,202505231850,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734763.202505231850,82,,2110063,1,20250523,1850,16,2,0,0,0,0,0,9,2,1,0,0,0,0,3,202505231850,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734764.202505231850,82,,2110065,1,20250523,1850,106,3,0,0,0,0,0,140,2,0,0,0,0,0,3,202505231850,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734765.202505231850,82,,2110080,1,20250523,1850,118,12,0,0,0,0,0,125,15,0,0,0,0,0,3,202505231850,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734766.202505231850,82,,2110081,1,20250523,1850,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505231850,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734767.202505231850,82,,2110090,1,20250523,1850,46,6,0,0,0,0,0,68,2,0,0,0,0,0,3,202505231850,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26734768.202505231850,82,,2110091,1,20250523,1850,16,3,0,0,0,0,0,25,0,0,0,0,0,0,3,202505231850,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
