FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26624906.202505230720,82,,2110010,1,20250523,720,23,6,0,0,0,0,0,22,8,0,0,0,0,0,3,202505230720,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624907.202505230720,82,,2110017,1,20250523,720,172,13,0,0,0,0,0,145,16,0,0,0,0,0,3,202505230720,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624908.202505230720,82,,2110019,1,20250523,720,117,10,0,0,0,0,0,140,8,0,0,0,0,0,3,202505230720,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624909.202505230720,82,,2110021,1,20250523,720,95,8,1,0,0,0,0,111,13,0,0,0,0,0,3,202505230720,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624910.202505230720,82,,2110030,1,20250523,720,122,6,0,0,0,0,0,108,7,0,0,0,0,0,3,202505230720,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624911.202505230720,82,,2110040,1,20250523,720,96,14,0,0,0,0,0,127,5,0,0,0,0,0,3,202505230720,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624912.202505230720,82,,2110060,1,20250523,720,148,27,0,0,0,0,0,142,15,0,0,0,0,0,3,202505230720,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624913.202505230720,82,,2110061,1,20250523,720,37,5,2,0,0,0,0,15,4,1,0,0,0,0,3,202505230720,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624914.202505230720,82,,2110062,1,20250523,720,20,7,0,0,0,0,0,24,3,0,0,0,0,0,3,202505230720,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624915.202505230720,82,,2110063,1,20250523,720,9,2,0,0,0,0,0,26,5,1,0,0,0,0,3,202505230720,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624916.202505230720,82,,2110065,1,20250523,720,136,11,0,0,0,0,0,118,9,0,0,0,0,0,3,202505230720,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624917.202505230720,82,,2110080,1,20250523,720,91,8,0,0,0,0,0,172,13,0,0,0,0,0,3,202505230720,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624918.202505230720,82,,2110081,1,20250523,720,57,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202505230720,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624919.202505230720,82,,2110090,1,20250523,720,65,8,0,0,0,0,0,71,10,0,0,0,0,0,3,202505230720,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26624920.202505230720,82,,2110091,1,20250523,720,36,3,0,0,0,0,0,29,4,0,0,0,0,0,3,202505230720,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
